#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_29.11.2019_18.17.09_202;494C8;Антонов А.А.;98729112019181709302;104
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
014826;Микрокар РМ3 (Sharomix 824;0;997;03405113340703201706
002675;Хлористый натрий (Соль поваренная сушеная);0;1989;02935075591304201602
002675;Хлористый натрий (Соль поваренная сушеная);0;1985;02935061791412201502
001366;Д-пантенол (D-panthenol B5;0;1597;10501243310108201902
002653;Диметикон DC 8500;0;879;11853250681609201905
002660;Масло персика (PARIOL 326 ПС/Р);0;381;03405233022805201905
000916;Микрокар (Microcare IT;0;817;03405048541308201502
000096;Диэтаноламиды (Комперлан КД;0;216;11150173160405201801
002457;Краситель 24 DAPE(2;0;1422;05626115582703201708
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
014826;Микрокар РМ3 (Sharomix 824;0;997;03405113340703201706
002675;Хлористый натрий (Соль поваренная сушеная);0;1989;02935075591304201602
002675;Хлористый натрий (Соль поваренная сушеная);0;1985;02935061791412201502
001366;Д-пантенол (D-panthenol B5;0;1597;10501243310108201902
002653;Диметикон DC 8500;0;879;11853250681609201905
002660;Масло персика (PARIOL 326 ПС/Р);0;381;03405233022805201905
000916;Микрокар (Microcare IT;0;817;03405048541308201502
000096;Диэтаноламиды (Комперлан КД;0;216;11150173160405201801
002457;Краситель 24 DAPE(2;0;1422;05626115582703201708
