#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_29.11.2019_18.17.16_122;765G9;Кокконен Р.Н.;98729112019181716301;129
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
003371;Воск белый пчелиный (beeswax white);0;317;10501228682504201902
003351;Комперлан 100 (Неопал МЕК;0;1594;03405164991603201801
000335;Сульфоэтоксилаты натрия (Emal 270 D;0;1346;07286093341609201601
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
003371;Воск белый пчелиный (beeswax white);0;317;10501228682504201902
003351;Комперлан 100 (Неопал МЕК;0;1594;03405164991603201801
000335;Сульфоэтоксилаты натрия (Emal 270 D;0;1346;07286093341609201601
