Lot;Pr_lot;Code;Name;Provider;Producer;Expire
03405029050302201507;YYZZE6OL05;002359     ;Этоксидигликоль (Carbitol CG, Моноэтиловый эфир);Ревада-Нева;DOW CORNING;14.10.2016
03405029060302201502;2014042503;003382     ;Ронгалит;Ревада-Нева;Nutrakey Industries , Inc;24.07.2015
03405030992002201502;VE00366644;007288     ;Отдушка SO MAGIC;Ревада-Нева;GIVAUDAN;28.01.2016
03405031432602201511;C-269214-609;000451     ;Цетримониум хлорид (Dehyguart, MICROCARE, ТОРКВАТ, СТС 25, СТС 50, Arguad 16-29);Ревада-Нева;THOR;01.09.2016
03405032591103201503;26102;000769     ;Эмульгин В2 (EmulginВ-2, цестопал-20М, Гиноник ССА, Ginonic CSA);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.10.2016
03405033221803201502;26625;005874     ;Лаукозол 103 (Texapon SB 3 KC, Сетацин 103, Setacin 103 Spezial NP, сульфосукцинат ANS-30);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.01.2016
03405036001504201504;3101;022498     ;Персульфат аммония (Ammonium Persulfate);Ревада-Нева;United Initiators GmbH@Co.KG;01.12.2015
03405037352904201505;Е15020640;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;14.02.2017
03405038591305201501;30543703;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;25.05.2016
03405039812605201504;M15017006P;002476     ;Стеариновая кислота (EDENOR, палмак 50-18, 1850, Эденор СТ 05 МУ БД, Пальмера А5518);Ревада-Нева;Emery Oleochemicals;01.01.2017
03405039822605201503;56234;008562     ;Кублен К60;Ревада-Нева;Danisco;01.03.2020
03405040600206201503;2624DNLC;006495     ;Каприлан МСТ 6040 (Париол ТМС 810Т, МЦТ 60/40, Палместер 3595, Масестер Е6000, Каприлик);Ревада-Нева;PT.Musim MAS.;31.03.2016
03405041360906201506;30547422;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;17.07.2016
03405042281806201503;30547424;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;20.07.2016
03405043082506201506;26962;000769     ;Эмульгин В2 (EmulginВ-2, цестопал-20М, Гиноник ССА, Ginonic CSA);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2017
03405046672707201502;14121407;000049     ;Краситель п-аминофенол порошковый (Rodol P Base, Chemibrox PAP, CAS 123-30-8);Ревада-Нева;NutraKey;13.12.2015
03405048010708201501;Е15050062;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;07.05.2017
03405048371108201501;К2304;000096     ;Диэтаноламиды (Комперлан КД, Амидет Б-112, Эденол ЦДЕ М,Emersense AM 8025, Коко Диэтаноламид, PDA);Ревада-Нева;Sovereign Food Chemicals Sdn.Bhd.;22.04.2017
03405048531308201501;5018DА1952;002476     ;Стеариновая кислота (EDENOR, палмак 50-18, 1850, Эденор СТ 05 МУ БД, Пальмера А5518);Ревада-Нева;Acidchem International SDN.BHD;13.04.2017
03405004832108201304;1001498477;002660     ;Масло персика (PARIOL 326 ПС/Р);Ревада-Нева;A.& A. Fratelli Parodi s.r.l.;08.01.2016
03405025221212201402;VE00356630;007288     ;Отдушка SO MAGIC;Ревада-Нева;GIVAUDAN;20.10.2016
03405029050302201510;25926;000769     ;Эмульгин В2 (EmulginВ-2, цестопал-20М, Гиноник ССА, Ginonic CSA);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.09.2016
03405029170402201501;29;001897     ;ПЭГ-400;Ревада-Нева;"ООО ""Завод синтанолов""";21.09.2015
03405030882002201501;30532850;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;10.04.2016
03405031432602201504;6038A15/02;002660     ;Масло персика (PARIOL 326 ПС/Р);Ревада-Нева;A.& A. Fratelli Parodi s.r.l.;01.01.2016
03405032451003201505;OH40071;003432     ;Диметикон DC 200/60000 (Белсил ДМ 60000, RJS-201-60000);Ревада-Нева;Wacker Chemie AG;18.09.2016
03405033231803201503;Р7916;001567     ;Кератин (Nutrilan Keratin W, Кера-теин В, Кера теин В-ЕХ);Ревада-Нева;TRI-K Industries, Inc;12.11.2015
03405034323003201508;26743;005546     ;Каопан ТВЛ-120 (Полисорбат-20, Лауропан Т/20);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2016
03405034323003201511;49166;003431     ;Тиогликолят аммония (Тиокер Н101, Thiocare H101);Ревада-Нева;Bruno Bock Chemische Fabrik GmbH&Co.;16.02.2016
03405036151604201501;VE00375206;014827     ;Отдушка Flirt 9 Givaudan;Ревада-Нева;GIVAUDAN;22.03.2016
03405036161604201508;26743;005546     ;Каопан ТВЛ-120 (Полисорбат-20, Лауропан Т/20);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2016
03405037102704201512;30021501;007220     ;активатор ОМЕГА ЦХС;Ревада-Нева;GfN, GmbH;28.02.2020
03405037362904201502;20140410;012875     ;Витамин Е ацетат;Ревада-Нева;Zhejiang Medicine Co., Ltd;11.04.2017
03405038651405201506;20150107;000314     ;Краситель 1-нафтол (ERN) (CAS № 90-15-3) (CI 76605);Ревада-Нева;Xinyu Chemicals;06.01.2016
03405039822605201501;26592;005291     ;Алкил бензоат С12- С15 ( DUB В1215, Неомин АБ, Эркарель АБ, Cosmacol EBI);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.01.2016
03405040282905201506;0115ANPC;003925     ;Кутина МД (CUTINA MD, Париол ГМС, Моностеарат глицерина, RADIASUFR 7143, ГМС Масемул);Ревада-Нева;PT. MUSIM MAS;28.01.2017
03405040312905201501;1;003345     ;Краситель Rodol MRP-N (2MR,метилрезорцин);Ревада-Нева;VGK OIL;09.05.2016
03405040600206201505;27198;005546     ;Каопан ТВЛ-120 (Полисорбат-20, Лауропан Т/20);Ревада-Нева;Industria Chimica Panzeri S.r.l.;28.04.2016
03405041110506201501;7405150130;002301     ;Диоксид титана (Хомбитан АФДЦ);Ревада-Нева;Huntsman;10.05.2018
03405041360906201504;С-047902-702;000451     ;Цетримониум хлорид (Dehyguart, MICROCARE, ТОРКВАТ, СТС 25, СТС 50, Arguad 16-29);Ревада-Нева;THOR;01.02.2017
03405030992002201506;78B664;004117     ;Изододекан;Ревада-Нева;LANXESS Distribution GmbH;15.12.2016
03405031432602201507;26102;000769     ;Эмульгин В2 (EmulginВ-2, цестопал-20М, Гиноник ССА, Ginonic CSA);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.10.2016
03405034323003201503;C-188170-607;003843     ;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);Ревада-Нева;THOR;01.07.2016
03405034323003201507;0013I2;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);Ревада-Нева;3V Sigma;29.01.2016
03405035380804201506;1514G14;001411     ;УФ-фильтр (UV 3V sigma, Уфасорб С5, Увасорб, Бензофенон, Sunsafe B4);Ревада-Нева;3V Sigma;01.08.2016
03405035851304201501;740515013;002301     ;Диоксид титана (Хомбитан АФДЦ);Ревада-Нева;Huntsman;13.01.2018
03405036151604201502;201411729;000108     ;Изоаскорбат натрия (Sodium Erythorbate);Ревада-Нева;Foodchem International Corporation;08.11.2016
03405037102704201506;RP-322906-1511;010329     ;Микрокер ДМП (Microcare DMP, Микрокар ДМП, Шаромикс DMP, Ревапро МПД);Ревада-Нева;THOR;03.11.2015
03405037102704201513;30021402;007220     ;активатор ОМЕГА ЦХС;Ревада-Нева;GfN, GmbH;31.08.2019
03405037750505201501;K1603;000096     ;Диэтаноламиды (Комперлан КД, Амидет Б-112, Эденол ЦДЕ М,Emersense AM 8025, Коко Диэтаноламид, PDA);Ревада-Нева;Sovereign Food Chemicals Sdn.Bhd.;15.03.2017
03405038651405201502;20150314;000050     ;Краситель ПФДА (Rodol D type J, Chemibroxc  РРD, CAS 106-50-3);Ревада-Нева;Xinyu Chemicals;13.03.2016
03405038651405201504;20150210;000045     ;Краситель м-аминофенол (EG) (Chemibrox  MAP) (CAS № 591-27-5) (CI 76545);Ревада-Нева;Xinyu Chemicals;09.02.2016
03405040272905201501;REL0004D15;002039     ;Минеральное масло (вазелиновое масло Blandol или Меркур, DIVYOL WOP 80, Савонол 20);Ревада-Нева;APAR INDUSTRIES LTD.;01.03.2017
03405040272905201501;REL0004D15;025078     ;Минеральное масло White Oil 15 (для пудры только САВОНОЛ-15);Ревада-Нева;APAR INDUSTRIES LTD.;01.03.2017
03405040600206201511;1374CNLC;006495     ;Каприлан МСТ 6040 (Париол ТМС 810Т, МЦТ 60/40, Палместер 3595, Масестер Е6000, Каприлик);Ревада-Нева;PT.Musim MAS.;19.02.2016
03405041110506201504;RP-305344-1610;000916     ;Микрокар (Microcare IT, Неомид 125, Актицид МВ, Биоцид Катон LXE);Ревада-Нева;THOR;01.10.2016
03405043082506201501;0115ANPC;003925     ;Кутина МД (CUTINA MD, Париол ГМС, Моностеарат глицерина, RADIASUFR 7143, ГМС Масемул);Ревада-Нева;PT. MUSIM MAS;28.01.2017
03405045401507201502;30561199;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;31.08.2016
03405046092207201503;26909;003807     ;Рицино Х 40М (Унитоп-ХЦО-40, UNITOP-HCO-40, ПЭГ-40) (НЕ ПРИНИМАТЬ!!!!);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2017
03405019911710201403;6048I14/01;011429     ;Масло манго;Ревада-Нева;A.& A. Fratelli Parodi s.r.l.;01.09.2015
03405028452901201505;0013H3;003986     ;Целкват SC240C (Ucare polymer JR-400) (поликватерниум-10, кондиционер П10);Ревада-Нева;3V Sigma;29.01.2016
03405031910303201503;50080;002652     ;Лаурил сульфат аммония (Sulfetal LA, LAUCOSOL LA, EMPICOL 30/Т,Тенсопол АЛС 25, Степанол АЛС-25);Ревада-Нева;TensaChem;01.01.2018
03405032711203201504;C-188170-607;003843     ;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);Ревада-Нева;THOR;01.07.2016
03405034122703201501;201411729;000108     ;Изоаскорбат натрия (Sodium Erythorbate);Ревада-Нева;Foodchem International Corporation;08.11.2016
03405034720204201502;LDC 201 14;002039     ;Минеральное масло (вазелиновое масло Blandol или Меркур, DIVYOL WOP 80, Савонол 20);Ревада-Нева;Savita Oil Technologies Limited;14.09.2016
03405037352904201502;Р7916;001567     ;Кератин (Nutrilan Keratin W, Кера-теин В, Кера теин В-ЕХ);Ревада-Нева;TRI-K Industries, Inc;12.11.2015
03405037800505201501;0374JNPC;003925     ;Кутина МД (CUTINA MD, Париол ГМС, Моностеарат глицерина, RADIASUFR 7143, ГМС Масемул);Ревада-Нева;PT. MUSIM MAS;09.10.2016
03405039822605201509;64564;004546     ;Эмульгин В3 (цетеарет 30, цестопал 30М) в DE LUXE;Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2017
03405042141706201503;0115ANPC;003925     ;Кутина МД (CUTINA MD, Париол ГМС, Моностеарат глицерина, RADIASUFR 7143, ГМС Масемул);Ревада-Нева;PT. MUSIM MAS;28.01.2017
03405043082506201504;30552888;003927     ;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);Ревада-Нева;Kao Chemicals GmbH;14.07.2016
03405043442906201501;F-1512016-001;003371     ;Воск белый пчелиный (beeswax white);Ревада-Нева;Kahl GMBH & CO.KG;19.03.2018
03405043790107201502;RP-326432-1512;010329     ;Микрокер ДМП (Microcare DMP, Микрокар ДМП, Шаромикс DMP, Ревапро МПД);Ревада-Нева;THOR;16.12.2015
03405044811007201502;RP-305344-1610;000916     ;Микрокар (Microcare IT, Неомид 125, Актицид МВ, Биоцид Катон LXE);Ревада-Нева;THOR;01.10.2016
03405046092207201501;С-055051-702;003843     ;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);Ревада-Нева;THOR;01.02.2017
03405048040708201502;2962;022499     ;Персульфат калия (Potassium Persulfate);Ревада-Нева;United Initiators GmbH@Co.KG;01.12.2015
03405048161008201506;6;005430     ;Эманон ХЕ (ПЕГ-7 глицерил кокоат, Неопал ХЕ, ПЭГ-7, Рокацет К0300Г);Ревада-Нева;PCC EXOL;01.02.2016
03405048911708201503;64564;004546     ;Эмульгин В3 (цетеарет 30, цестопал 30М) в DE LUXE;Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2017
03405049121908201506;1514N22;001411     ;УФ-фильтр (UV 3V sigma, Уфасорб С5, Увасорб, Бензофенон, Sunsafe B4);Ревада-Нева;3V Sigma;31.12.2016
03405050440109201501;30561430;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;17.10.2016
03405028442901201503;141195;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;VVF Limited;01.10.2017
03405031142402201502;141195;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;VVF Limited;01.10.2017
03405031432602201501;C-188170-607;003843     ;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);Ревада-Нева;THOR;01.07.2016
03405032461003201501;5018DA1812;002476     ;Стеариновая кислота (EDENOR, палмак 50-18, 1850, Эденор СТ 05 МУ БД, Пальмера А5518);Ревада-Нева;Acidchem International SDN.BHD;21.09.2016
03405032711203201501;RP-307790-1702;005962     ;Гидролит (Гидролит-5,Cosphaderm Pentiol, Микрокер Эмолиент ПТГ);Ревада-Нева;THOR;01.02.2017
03405034760204201501;150302M0E;000210     ;Метасиликат натрия (безводный) ;Ревада-Нева;Silmako (Silicates manufacturing company);05.03.2016
03405035380804201511;C-269214-609;000451     ;Цетримониум хлорид (Dehyguart, MICROCARE, ТОРКВАТ, СТС 25, СТС 50, Arguad 16-29);Ревада-Нева;THOR;01.09.2016
03405036161604201504;14J406D;002659     ;Ажидью НЛ50 (аминокислота, NaРСА, Налидон);Ревада-Нева;UCIB (Solabia Group);01.09.2019
03405036682204201501;46659;005338     ;Вазелин Меркур 501 (poweroil petroleum jelly-ep);Ревада-Нева;Sasol Wax GmbH;20.11.2017
03405037102704201508;30542282;003927     ;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);Ревада-Нева;Kao Chemicals GmbH;20.05.2016
03405038651405201509;20150312;001614     ;Краситель 6 CP (6-хлор-0-крезол, 2-метил-5-амино-6-хлор фенол, CAS 84540-50-1, Chemibroxc 5А6СОС);Ревада-Нева;Xinyu Chemicals;11.03.2016
03405039822605201505;64675;001557     ;Лаурет-2 (DEHYDOL, Гифран, Неопал МА 1.8, Синтанол АЛМ-2, Арлипон F, Унитоп Хидол 2);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.04.2016
03405040282905201502;3355112014/J/AG;007888     ;Ниацинамид;Ревада-Нева;Jubilant Life Sciences Limited;01.10.2019
03405040600206201509;65583;005338     ;Вазелин Меркур 501 (poweroil petroleum jelly-ep);Ревада-Нева;Sasol Wax GmbH;23.04.2018
03405040900406201501;30547424;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;20.07.2016
03405041100506201501;20140317;000101     ;Бензоат натрия;Ревада-Нева;Foodchem International Corporation;16.03.2016
03405041410906201502;30547425;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;20.07.2016
03405041611006201501;25;001897     ;ПЭГ-400;Ревада-Нева;"ООО ""Завод синтанолов""";01.05.2016
03405042281806201502;30552888;003927     ;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);Ревада-Нева;Kao Chemicals GmbH;14.07.2016
03405043760107201501;Е15040022;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;13.04.2017
03405029060302201501;LDC 201 14;002039     ;Минеральное масло (вазелиновое масло Blandol или Меркур, DIVYOL WOP 80, Савонол 20);Ревада-Нева;Savita Oil Technologies Limited;14.09.2016
03405031910303201504;63427;001557     ;Лаурет-2 (DEHYDOL, Гифран, Неопал МА 1.8, Синтанол АЛМ-2, Арлипон F, Унитоп Хидол 2);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.12.2015
03405032090403201502;20601404;005150     ;"Китинами (KITINAMI) (сукцинил хитозан) (HYDROXAN, Гидроксан); Гидроцел Q(Hydrocell Q)";Ревада-Нева;GfN, GmbH;03.11.2019
03405032711203201502;26541;005546     ;Каопан ТВЛ-120 (Полисорбат-20, Лауропан Т/20);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.01.2016
03405034122703201502;E14120539;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;30.12.2016
03405034323003201510;48859;003431     ;Тиогликолят аммония (Тиокер Н101, Thiocare H101);Ревада-Нева;Bruno Bock Chemische Fabrik GmbH&Co.;19.01.2016
03405035891404201502;E15010619;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;29.01.2017
03405036752304201503;30539610;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;07.05.2016
03405038971905201501;JA141203-1;003351     ;Комперлан 100 (Неопал МЕК, Галакси 100,Empilan CME/T,  amidet A-111Р,Cocamid MEA, PALMOCOL PMA 1100);Ревада-Нева;Jaxing zanyu tecnology developmrnt Co., Ltd;02.12.2016
03405042141706201501;26905;003687     ;ПЭГ-8 дистеарат (DS PEG-8, Неомин 8 ДС, Cithrol 4DS MBAL-SO-(MV));Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.04.2016
03405043082506201503;121517502;005873     ;Масло какао (Париол 455 БЦ Р);Ревада-Нева;Cargill GmbH Cargill Cocoa&Chocolate, (Schwartauer Werke GmbH &Co.KG);25.10.2016
03405044090307201501;Р7909;002654     ;Глуадин (Gluadin WQ, Вит кват Л);Ревада-Нева;TRI-K Industries, Inc;12.11.2015
03405045011307201501;Е15050051;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;01.05.2017
03405045401507201501;30554543;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;28.08.2016
03405045541607201501;Е15050051;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;01.05.2017
03405047123007201501;F-1512017-001;003371     ;Воск белый пчелиный (beeswax white);Ревада-Нева;Kahl GmbH & Co.KG;20.03.2018
03405048351108201501;30554547;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;15.09.2016
03405048531308201505;201411729;000108     ;Изоаскорбат натрия (Sodium Erythorbate);Ревада-Нева;Foodchem International Corporation;08.11.2016
03405049732508201501;К0207;000096     ;Диэтаноламиды (Комперлан КД, Амидет Б-112, Эденол ЦДЕ М,Emersense AM 8025, Коко Диэтаноламид, PDA);Ревада-Нева;Sovereign Food Chemicals Sdn.Bhd.;01.07.2017
03405029050302201505;140919TK4304;003926     ;Плантакар (Plantacare 2000,Децилглюкозид,Милкозид 302, Алкилполигликозид С8-С14);Ревада-Нева;ICOF EUROPE GmbH;18.09.2015
03405029160402201507;C-188170-607;003843     ;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);Ревада-Нева;THOR;01.07.2016
03405032270503201503;62449;004546     ;Эмульгин В3 (цетеарет 30, цестопал 30М) в DE LUXE;Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.12.2016
03405032591103201506;D215F29001;002359     ;Этоксидигликоль (Carbitol CG, Моноэтиловый эфир);Ревада-Нева;DOW CORNING;20.02.2016
03405036442004201501;M15017006P;002476     ;Стеариновая кислота (EDENOR, палмак 50-18, 1850, Эденор СТ 05 МУ БД, Пальмера А5518);Ревада-Нева;Emery Oleochemicals;15.01.2017
03405037102704201503;20601404;005150     ;"Китинами (KITINAMI) (сукцинил хитозан) (HYDROXAN, Гидроксан); Гидроцел Q(Hydrocell Q)";Ревада-Нева;GfN, GmbH;03.11.2019
03405037102704201514;30021401;007220     ;активатор ОМЕГА ЦХС;Ревада-Нева;GfN, GmbH;30.06.2019
03405038981905201504;30550028;003927     ;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);Ревада-Нева;Kao Chemicals GmbH;26.06.2016
03405041621006201510;F-1506016-001;003371     ;Воск белый пчелиный (beeswax white);Ревада-Нева;Kahl GmbH & Co.KG;06.02.2018
03405042652206201501;Е15040022;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;13.04.2017
03405043442906201510;F-1512015-001;003371     ;Воск белый пчелиный (beeswax white);Ревада-Нева;Kahl GMBH & CO.KG;19.03.2018
03405044090307201503;Р7916;001567     ;Кератин (Nutrilan Keratin W, Кера-теин В, Кера теин В-ЕХ);Ревада-Нева;TRI-K Industries, Inc;12.11.2015
03405045171307201501;RP-314281-1706;005962     ;Гидролит (Гидролит-5,Cosphaderm Pentiol, Микрокер Эмолиент ПТГ);Ревада-Нева;THOR;01.06.2017
03405046672707201503;130/14-15;000051     ;Краситель резорцин  (Rodol RS, Chemibroxc RS, Резорцинол);Ревада-Нева;ATUL Ltd, India;18.12.2015
03405049131908201507;ЕЕ15060117;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;31.05.2017
03405049732508201502;ЕЕ15060121;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;07.06.2017
03405050730309201502;27205;003687     ;ПЭГ-8 дистеарат (DS PEG-8, Неомин 8 ДС, Cithrol 4DS MBAL-SO-(MV));Ревада-Нева;Industria Chimica Panzeri S.r.l.;28.04.2016
03405053850210201505;30021502;007220     ;активатор ОМЕГА ЦХС;Ревада-Нева;GfN, GmbH;16.07.2020
03405054270710201502;66381;005430     ;Эманон ХЕ (ПЕГ-7 глицерил кокоат, Неопал ХЕ, ПЭГ-7, Рокацет К0300Г);Ревада-Нева;Industria Chimica Panzeri S.r.l.;30.07.2016
03405054640910201504;414424;023779     ;Микрокар РE (Microcare PE, Микрокер ПЕ, Феноксиэтанол П25);Ревада-Нева;GALAXY SURFACTANTS LTD.;01.11.2017
03405031910303201505;30519695;003927     ;Еуперлан PK 4000 ( Еуперлан РК 4000, Акипосал 2010С);Ревада-Нева;Kao Chemicals GmbH;24.12.2015
03405032090403201503;30532851;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;10.04.2016
03405033231803201502;Р7909;002654     ;Глуадин (Gluadin WQ, Вит кват Л);Ревада-Нева;TRI-K Industries, Inc;12.11.2015
03405034002603201501;7650589;002652     ;Лаурил сульфат аммония (Sulfetal LA, LAUCOSOL LA, EMPICOL 30/Т,Тенсопол АЛС 25, Степанол АЛС-25);Ревада-Нева;Stepan Europe France;09.02.2018
03405035891404201501;E15020620;000334     ;ЦСС (Hedrenol, Lanett, Калкол 8670, Алкотекс 1618 ФБ, VEGAROL 1618ТА, Екорол 68/30П);Ревада-Нева;Godrey Industries Ltd.;31.01.2017
03405036442004201503;REL0140I14;002039     ;Минеральное масло (вазелиновое масло Blandol или Меркур, DIVYOL WOP 80, Савонол 20);Ревада-Нева;Apar industries limited;01.08.2016
03405037362904201503;С-012339-701;003843     ;Квартамин АВ (бегентримониум хлорид, Микрокер Кват БХК);Ревада-Нева;THOR;01.01.2017
03405037750505201502;JA141203-1;003351     ;Комперлан 100 (Неопал МЕК, Галакси 100,Empilan CME/T,  amidet A-111Р,Cocamid MEA, PALMOCOL PMA 1100);Ревада-Нева;Jaxing zanyu tecnology developmrnt Co., Ltd;02.12.2016
03405038651405201507;20150207;000608     ;Краситель GRAY HED (NN-BIS, CAS 54381-16-7, N,N-BIS);Ревада-Нева;Xinyu Chemicals;06.02.2016
03405041110506201507;26909;003807     ;Рицино Х 40М (Унитоп-ХЦО-40, UNITOP-HCO-40, ПЭГ-40) (НЕ ПРИНИМАТЬ!!!!);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2017
03405041621006201503;20150106;012875     ;Витамин Е ацетат;Ревада-Нева;Zhejiang Medicine Co., Ltd;07.01.2018
03405044080307201506;50508;003431     ;Тиогликолят аммония (Тиокер Н101, Thiocare H101);Ревада-Нева;Bruno Bock Chemische Fabrik GmbH&Co.;31.05.2016
03405044530807201507;30554544;000335     ;Сульфоэтоксилаты натрия (Emal 270 D, Texapon N70 Tainolin AES-70-2-NC,Sles 270D,СульфороканолЛ270/1);Ревада-Нева;Kao Chemicals GmbH;28.08.2016
03405044530807201510;26962;000769     ;Эмульгин В2 (EmulginВ-2, цестопал-20М, Гиноник ССА, Ginonic CSA);Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2017
03405045021307201501;26905;003687     ;ПЭГ-8 дистеарат (DS PEG-8, Неомин 8 ДС, Cithrol 4DS MBAL-SO-(MV));Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.04.2016
03405047123007201506;D215F33001;002359     ;Этоксидигликоль (Carbitol CG, Моноэтиловый эфир);Ревада-Нева;DOW CORNING;19.03.2017
03405048030708201501;26905;003687     ;ПЭГ-8 дистеарат (DS PEG-8, Неомин 8 ДС, Cithrol 4DS MBAL-SO-(MV));Ревада-Нева;Industria Chimica Panzeri S.r.l.;01.03.2016
03405049131908201504;20140317;000101     ;Бензоат натрия;Ревада-Нева;Foodchem International Corporation;16.03.2016
