#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_29.11.2019_18.17.17_201;122C9;Курапов М.А.;98729112019181717201;55
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
002476;Стеариновая кислота (EDENOR;0;1553;03405028442901201502
002675;Хлористый натрий (Соль поваренная сушеная);0;520;02935097582410201601
001533;Дехитон(BetadetХР-50К;0;724;03405050293108201513
014825;Диметикон 3560 (Belsil DM 3560 VP);0;1973;03405167323003201801
025078;Минеральное масло White Oil 15 (для пудры только САВОНОЛ-15);0;81;03405071731503201602
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
002476;Стеариновая кислота (EDENOR;0;1553;03405028442901201502
002675;Хлористый натрий (Соль поваренная сушеная);0;520;02935097582410201601
001533;Дехитон(BetadetХР-50К;0;724;03405050293108201513
014825;Диметикон 3560 (Belsil DM 3560 VP);0;1973;03405167323003201801
025078;Минеральное масло White Oil 15 (для пудры только САВОНОЛ-15);0;81;03405071731503201602
