#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_29.11.2019_18.17.00_201;136A9;Петров О.В.;98729112019181700122;18
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
003371;Воск белый пчелиный (beeswax white);0;757;10501228682504201902
003933;ПВП/ВА W-635 (PVP/VA W-635) (Лувискол VA64W);0;366;08545191362408201808
033566;Коллаген гидролизированный;0;927;10164180422006201801
005150;"""Китинами (KITINAMI) (сукцинил хитозан) (HYDROXAN";0;821;03405261311911201903
010329;Микрокер ДМП (Microcare DMP;0;377;03405145103110201706
003351;Комперлан 100 (Неопал МЕК;0;51;03405068591702201601
027129;Краситель E 124 FOODCO 01 ПОНСО 4R;0;353;05586206292011201801
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
003371;Воск белый пчелиный (beeswax white);0;757;10501228682504201902
003933;ПВП/ВА W-635 (PVP/VA W-635) (Лувискол VA64W);0;366;08545191362408201808
033566;Коллаген гидролизированный;0;927;10164180422006201801
005150;"""Китинами (KITINAMI) (сукцинил хитозан) (HYDROXAN";0;821;03405261311911201903
010329;Микрокер ДМП (Microcare DMP;0;377;03405145103110201706
003351;Комперлан 100 (Неопал МЕК;0;51;03405068591702201601
027129;Краситель E 124 FOODCO 01 ПОНСО 4R;0;353;05586206292011201801
