#{Document}
"Name;Varka;Vypolnil;ShtrihkodEmkosti;Apparat"
Взвешивание_29.11.2019_18.17.22_301;705F8;Пардаев М.А.;98729112019181722202;149
#{DeclaredItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
002754;Краситель Basic Blue 99 (Arianor MadderSteel bleu 306014);0;1533;07295184861707201801
014807;Диметикон BY 25-320 (PMX-2532);0;465;07295082661706201611
005291;Алкил бензоат С12- С15 ( DUB В1215;0;570;03405238130107201901
000096;Диэтаноламиды (Комперлан КД;0;1753;06017092040509201606
004048;Акузол ОР-301 (замутнитель);0;181;02804001400101201304
000753;Аммиак водный;0;1502;09577069292402201601
000751;Карбопол ULTRES 21;0;1356;09743166532703201801
002659;Ажидью НЛ50 (аминокислота;0;1197;03405062952312201506
#{CurrentItems}
"Productid;Product.Name;DeclaredQuantity;CurrentQuantity;Partiya"
002754;Краситель Basic Blue 99 (Arianor MadderSteel bleu 306014);0;1533;07295184861707201801
014807;Диметикон BY 25-320 (PMX-2532);0;465;07295082661706201611
005291;Алкил бензоат С12- С15 ( DUB В1215;0;570;03405238130107201901
000096;Диэтаноламиды (Комперлан КД;0;1753;06017092040509201606
004048;Акузол ОР-301 (замутнитель);0;181;02804001400101201304
000753;Аммиак водный;0;1502;09577069292402201601
000751;Карбопол ULTRES 21;0;1356;09743166532703201801
002659;Ажидью НЛ50 (аминокислота;0;1197;03405062952312201506
